all time stamps are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred
,C1,B2,A1,A2,B3,D1,Y,B1(MV),C2(MV),D3,D2,Z
41,114.775993,10525.64453,210.028885,1735.05249,0.802181,0.466914,3.513919,58.40625,62.375,51.996876,85.910187,1565.215698
42,114.933144,10527.32617,210.074509,1735.412354,0.801439,0.467108,3.511221,58.40625,62.375,51.992027,85.717392,1562.241699
43,115.436569,10528.58496,210.0634,1734.922363,0.806726,0.467134,3.515798,58.40625,62.375,51.982216,85.81057,1564.035034
44,114.916481,10529.74414,210.131226,1734.729248,0.805448,0.466395,3.513399,58.40625,62.375,51.978092,85.938698,1562.992554
45,114.894188,10530.75391,210.071167,1734.716675,0.798508,0.466614,3.514598,58.40625,62.375,51.976749,85.867882,1564.133545
46,115.50531,10530.28418,210.023788,1734.806763,0.798252,0.467418,3.531522,58.40625,62.375,51.979935,85.886673,1572.234009
47,115.110062,10532.27148,210.018982,1735.168701,0.802625,0.465664,3.508811,58.40625,62.375,51.99099,85.869041,1562.230225
48,115.505867,10532.66504,210.174057,1734.307373,0.803084,0.466849,3.518419,58.40625,62.375,51.992504,85.97596,1566.060181
49,115.333557,10530.65137,210.068237,1735.459961,0.807074,0.467385,3.516869,58.40625,62.375,51.993813,85.891205,1567.110474
50,114.634415,10525.18652,210.256393,1735.301758,0.805924,0.468595,3.52021,58.40625,62.375,51.992287,86.006638,1567.598755
51,115.18502,10526.71777,210.240646,1734.912231,0.808108,0.468978,3.517854,58.40625,62.375,51.990623,85.860741,1565.386353
52,115.605057,10525.22168,210.07756,1734.928223,0.804326,0.470699,3.509465,58.40625,62.375,51.996048,85.872498,1564.485596
53,114.929863,10526.34473,210.173477,1734.773804,0.804122,0.468837,3.510959,58.40625,62.375,51.995071,85.942268,1563.067749
54,115.60791,10527.76856,210.055649,1734.863647,0.804575,0.467894,3.510232,58.40625,62.375,51.987202,85.778679,1560.612671
55,114.934914,10530.70215,210.193893,1735.212402,0.799583,0.468563,3.512671,58.40625,62.375,51.994762,85.886627,1564.479004
56,115.219368,10528.32715,210.182755,1735.432373,0.805048,0.468344,3.511394,58.40625,62.375,51.993114,85.867874,1562.480347
57,114.90876,10529.09082,210.073029,1735.019897,0.801328,0.468684,3.510132,58.40625,62.375,51.995033,85.796181,1564.456299
